単語番号,日,種類,ファイル名,長さ(秒),開始(フレーム),終了(フレーム)
030,03,日本語,052_Kikutan_Chinese_Nyumon.mp3,0.8,1400320,1437184
030,03,例文1,052_Kikutan_Chinese_Nyumon.mp3,3.1,1460224,1595392
031,03,中国語,052_Kikutan_Chinese_Nyumon.mp3,1.1,1620480,1669120
031,03,日本語,052_Kikutan_Chinese_Nyumon.mp3,0.9,1682944,1720832
031,03,例文1,052_Kikutan_Chinese_Nyumon.mp3,2.1,1736192,1827840
032,03,中国語,052_Kikutan_Chinese_Nyumon.mp3,1.0,1857536,1902080
032,03,日本語,052_Kikutan_Chinese_Nyumon.mp3,0.6,1918464,1944576
032,03,例文1,052_Kikutan_Chinese_Nyumon.mp3,2.5,1951744,2062336
033,03,中国語,052_Kikutan_Chinese_Nyumon.mp3,0.7,2083840,2114560
033,03,日本語,052_Kikutan_Chinese_Nyumon.mp3,0.7,2135552,2166272
033,03,例文1,052_Kikutan_Chinese_Nyumon.mp3,2.4,2187776,2292736
034,03,中国語,052_Kikutan_Chinese_Nyumon.mp3,0.9,2325504,2364416
034,03,日本語,052_Kikutan_Chinese_Nyumon.mp3,0.6,2375168,2400256
034,03,例文1,052_Kikutan_Chinese_Nyumon.mp3,2.7,2402816,2520064
035,03,中国語,052_Kikutan_Chinese_Nyumon.mp3,1.2,2551808,2606592
035,03,日本語,052_Kikutan_Chinese_Nyumon.mp3,0.5,2623488,2647040
035,03,例文1,052_Kikutan_Chinese_Nyumon.mp3,2.7,2672640,2790400
036,03,中国語,052_Kikutan_Chinese_Nyumon.mp3,1.2,2804736,2858496
036,03,日本語,052_Kikutan_Chinese_Nyumon.mp3,0.7,2866176,2898944
036,03,例文1,052_Kikutan_Chinese_Nyumon.mp3,3.0,2931200,3065344
037,04,中国語,053_Kikutan_Chinese_Nyumon.mp3,0.7,93184,123392
037,04,日本語,053_Kikutan_Chinese_Nyumon.mp3,0.9,132608,170496
037,04,例文1,053_Kikutan_Chinese_Nyumon.mp3,4.1,187904,370176
038,04,中国語,053_Kikutan_Chinese_Nyumon.mp3,0.6,401408,428032
038,04,日本語,053_Kikutan_Chinese_Nyumon.mp3,0.7,441344,472576
038,04,例文1,053_Kikutan_Chinese_Nyumon.mp3,2.9,489984,618496
039,04,中国語,053_Kikutan_Chinese_Nyumon.mp3,0.7,670208,702464
039,04,日本語,053_Kikutan_Chinese_Nyumon.mp3,0.5,715776,737792
039,04,例文1,053_Kikutan_Chinese_Nyumon.mp3,2.3,770560,869888
040,04,中国語,053_Kikutan_Chinese_Nyumon.mp3,0.8,913920,948224
040,04,日本語,053_Kikutan_Chinese_Nyumon.mp3,0.4,970752,989184
040,04,例文1,053_Kikutan_Chinese_Nyumon.mp3,2.2,1001984,1098240
041,04,中国語,053_Kikutan_Chinese_Nyumon.mp3,1.0,1134592,1180672
041,04,日本語,053_Kikutan_Chinese_Nyumon.mp3,0.5,1194496,1215488
041,04,例文1,053_Kikutan_Chinese_Nyumon.mp3,1.8,1240064,1318912
042,04,中国語,053_Kikutan_Chinese_Nyumon.mp3,0.6,1349632,1375744
042,04,日本語,053_Kikutan_Chinese_Nyumon.mp3,0.5,1393664,1415168
042,04,例文1,053_Kikutan_Chinese_Nyumon.mp3,2.0,1432576,1520640
043,04,中国語,053_Kikutan_Chinese_Nyumon.mp3,0.6,1553408,1578496
043,04,日本語,053_Kikutan_Chinese_Nyumon.mp3,0.7,1597952,1629184
043,04,例文1,053_Kikutan_Chinese_Nyumon.mp3,1.9,1647104,1731072
044,04,中国語,053_Kikutan_Chinese_Nyumon.mp3,0.6,1771520,1796608
044,04,日本語,053_Kikutan_Chinese_Nyumon.mp3,0.5,1808896,1830912
044,04,例文1,053_Kikutan_Chinese_Nyumon.mp3,2.9,1857536,1985536
045,04,中国語,053_Kikutan_Chinese_Nyumon.mp3,0.7,2023424,2055168
045,04,日本語,053_Kikutan_Chinese_Nyumon.mp3,0.5,2067968,2091008
045,04,例文1,053_Kikutan_Chinese_Nyumon.mp3,2.1,2120704,2211840
046,04,中国語,053_Kikutan_Chinese_Nyumon.mp3,0.9,2234880,2272768
046,04,日本語,053_Kikutan_Chinese_Nyumon.mp3,0.6,2286592,2311680
046,04,例文1,053_Kikutan_Chinese_Nyumon.mp3,2.0,2324992,2413568
047,04,中国語,053_Kikutan_Chinese_Nyumon.mp3,0.7,2440704,2469376
047,04,日本語,053_Kikutan_Chinese_Nyumon.mp3,1.1,2492928,2541568
047,04,例文1,053_Kikutan_Chinese_Nyumon.mp3,1.6,2546176,2614784
047,04,例文2,053_Kikutan_Chinese_Nyumon.mp3,1.7,2617344,2691584
048,04,中国語,053_Kikutan_Chinese_Nyumon.mp3,0.6,2721280,2747392
048,04,日本語,053_Kikutan_Chinese_Nyumon.mp3,1.2,2773504,2828288
048,04,例文1,053_Kikutan_Chinese_Nyumon.mp3,2.3,2838528,2939392
049,05,中国語,054_Kikutan_Chinese_Nyumon.mp3,0.5,125440,147968
049,05,日本語,054_Kikutan_Chinese_Nyumon.mp3,0.7,166912,196608
049,05,例文1,054_Kikutan_Chinese_Nyumon.mp3,2.4,220672,328192
050,05,中国語,054_Kikutan_Chinese_Nyumon.mp3,1.0,363520,406528
050,05,日本語,054_Kikutan_Chinese_Nyumon.mp3,0.8,419328,452608
050,05,例文1,054_Kikutan_Chinese_Nyumon.mp3,2.2,473600,571392
050,05,例文2,054_Kikutan_Chinese_Nyumon.mp3,2.2,605696,700928
051,05,中国語,054_Kikutan_Chinese_Nyumon.mp3,0.9,739328,780288
051,05,日本語,054_Kikutan_Chinese_Nyumon.mp3,0.6,787968,815616
051,05,例文1,054_Kikutan_Chinese_Nyumon.mp3,2.1,836608,927744
052,05,中国語,054_Kikutan_Chinese_Nyumon.mp3,1.1,953856,1003008
052,05,日本語,054_Kikutan_Chinese_Nyumon.mp3,0.7,1014272,1047040
052,05,例文1,054_Kikutan_Chinese_Nyumon.mp3,2.4,1068032,1175552
053,05,中国語,054_Kikutan_Chinese_Nyumon.mp3,0.8,1211904,1248768
053,05,日本語,054_Kikutan_Chinese_Nyumon.mp3,0.6,1263104,1288704
053,05,例文1,054_Kikutan_Chinese_Nyumon.mp3,2.6,1294848,1411584
054,05,中国語,054_Kikutan_Chinese_Nyumon.mp3,1.0,1448960,1492992
054,05,日本語,054_Kikutan_Chinese_Nyumon.mp3,0.8,1505792,1539072
054,05,例文1,054_Kikutan_Chinese_Nyumon.mp3,2.5,1543168,1654272
055,05,中国語,054_Kikutan_Chinese_Nyumon.mp3,0.5,1692672,1714688
055,05,日本語,054_Kikutan_Chinese_Nyumon.mp3,0.6,1735680,1761792
055,05,例文1,054_Kikutan_Chinese_Nyumon.mp3,2.3,1771008,1873920
056,05,中国語,054_Kikutan_Chinese_Nyumon.mp3,0.8,1906688,1940480
056,05,日本語,054_Kikutan_Chinese_Nyumon.mp3,0.6,1956352,1984000
056,05,例文1,054_Kikutan_Chinese_Nyumon.mp3,2.5,2000384,2110464
057,05,中国語,054_Kikutan_Chinese_Nyumon.mp3,0.7,2138112,2168832
057,05,日本語,054_Kikutan_Chinese_Nyumon.mp3,0.6,2182656,2210816
057,05,例文1,054_Kikutan_Chinese_Nyumon.mp3,2.1,2220544,2311680
058,05,中国語,054_Kikutan_Chinese_Nyumon.mp3,0.7,2347008,2379264
058,05,日本語,054_Kikutan_Chinese_Nyumon.mp3,0.6,2398208,2425856
